city,date,fare,ride_id
Port Samanthamouth,2019/1/23 9:08:20,35.51,3.12E+12
West Robert,2019/1/21 17:21:50,27.11,1.37E+12
Jerryton,2019/1/5 15:36:46,37.91,1.59E+12
Port Samanthamouth,2019/2/3 7:07:01,18.03,9.29E+12
Liumouth,2019/1/15 7:55:34,14.55,4.38E+12
West Heidi,2019/4/3 3:16:18,24.76,1.82E+12
Loganberg,2019/1/21 16:26:37,22.86,1.95E+12
Grahamburgh,2019/2/17 9:54:44,30.25,4.05E+12
Raymondhaven,2019/5/6 23:22:49,25.76,8.72E+12
Karenside,2019/1/25 15:35:18,14.52,2.65E+12
Port Frank,2019/4/6 21:38:50,18.08,5.47E+12
Leahton,2019/4/2 17:39:37,22.76,5.81E+12
Port Samanthamouth,2019/4/22 3:32:37,29.67,3.15E+12
Jerryton,2019/4/13 21:47:30,32.08,8.50E+12
West Patrickchester,2019/3/7 15:47:07,23.66,3.07E+12
West Samuelburgh,2019/3/3 16:07:24,27.48,1.01E+11
North Markport,2019/3/31 13:58:15,29.41,3.09E+12
West Angela,2019/3/10 11:23:00,27.1,1.37E+12
Grahamburgh,2019/3/12 2:44:01,22.97,4.90E+12
South Michelleport,2019/1/8 9:38:14,23.77,4.92E+12
East Kaylahaven,2019/4/2 7:05:54,9.67,2.09E+12
South Karenland,2019/4/22 21:37:41,22.86,6.73E+12
Lake Danielberg,2019/2/24 12:05:12,9.63,9.15E+12
Justinberg,2019/4/26 8:41:02,8.83,1.82E+12
Karenberg,2019/4/29 20:54:19,28.41,9.05E+12
South Phillip,2019/2/9 16:46:59,7.89,3.20E+12
North Madeline,2019/4/5 18:23:53,29.69,2.41E+11
New Kimberlyborough,2019/5/1 13:56:38,22.59,9.25E+12
South Jack,2019/4/24 19:33:56,38.04,2.20E+12
Erikaland,2019/3/11 2:19:28,27.39,1.32E+11
New Paulville,2019/3/27 2:18:33,7.29,7.05E+12
Hurleymouth,2019/3/26 20:22:28,41.15,4.71E+12
Liumouth,2019/4/12 3:38:12,43.34,7.86E+12
Deanville,2019/5/1 21:53:42,8.28,5.93E+11
Karenside,2019/4/2 19:22:47,41.93,4.09E+12
West Angela,2019/1/30 18:08:35,19.13,2.08E+12
Liumouth,2019/2/1 20:17:16,24.81,5.47E+12
Jerryton,2019/3/27 12:48:21,13.29,8.96E+12
South Phillip,2019/5/4 9:10:40,28.3,8.70E+12
Port Johnbury,2019/4/27 16:22:23,25.67,2.75E+12
Raymondhaven,2019/2/8 23:57:16,5.7,3.93E+12
Port David,2019/3/7 18:37:30,42.04,9.91E+12
Robertport,2019/3/6 9:51:08,6.73,9.68E+12
Loganberg,2019/3/16 11:46:25,23.99,9.49E+12
Karenside,2019/4/19 10:17:18,36.01,1.32E+12
Lake Jonathanshire,2019/3/9 23:45:55,19.89,2.39E+12
Pattyland,2019/1/30 12:35:37,8.57,4.69E+12
West Robert,2019/4/13 6:56:12,32.94,9.60E+12
Justinberg,2019/4/12 5:27:42,17.03,8.37E+12
West Josephberg,2019/2/9 14:07:54,4.42,8.30E+12
North Markport,2019/1/21 11:49:50,27.68,4.56E+12
Williamsview,2019/1/9 15:24:41,44.46,2.20E+12
Raymondhaven,2019/2/1 5:51:10,13.86,8.72E+12
South Latoya,2019/2/12 16:32:49,30.22,7.39E+12
Deanville,2019/3/29 4:07:48,5.32,2.61E+12
Amandaburgh,2019/3/5 2:15:38,26.28,9.07E+11
Jerryton,2019/1/27 14:46:26,29.08,6.16E+12
Deanville,2019/3/24 0:26:39,30.55,5.28E+12
West Anthony,2019/1/23 12:32:46,23.24,5.97E+11
West Anthony,2019/2/24 6:14:16,39.2,8.49E+12
West Heidi,2019/3/30 10:46:05,22.41,1.71E+12
Royland,2019/1/1 3:46:50,7.57,5.82E+12
South Latoya,2019/3/2 6:06:17,10.35,3.38E+11
Johnton,2019/1/8 17:33:26,43.75,1.95E+11
West Angela,2019/1/30 18:46:42,32.31,7.29E+12
Rodneyfort,2019/1/8 0:29:35,29.4,1.18E+12
Royland,2019/1/2 20:08:57,10.19,6.68E+11
New Paulville,2019/1/31 5:32:33,20.8,1.09E+12
Huntermouth,2019/4/9 20:23:11,35.11,3.01E+12
New Paulville,2019/1/30 15:21:53,7.02,8.50E+12
Justinberg,2019/5/3 2:49:42,36.06,9.30E+11
Port Angela,2019/3/31 15:22:26,30.77,6.62E+11
Port Angela,2019/4/9 14:34:27,11.9,7.01E+12
Christopherfurt,2019/1/5 22:21:59,33.51,1.90E+12
South Michelleport,2019/4/22 3:15:33,43.62,4.66E+12
Williamsstad,2019/2/13 20:07:49,33.72,3.80E+12
Lake Jonathanshire,2019/4/7 18:09:21,24.28,7.80E+12
Robertport,2019/3/20 19:11:26,20.21,9.63E+12
Port Angela,2019/2/8 16:30:53,30.38,5.17E+12
Barajasview,2019/2/8 18:07:22,24.49,2.61E+12
South Evanton,2019/1/24 7:08:44,17.83,3.00E+12
Lake Danielberg,2019/2/13 11:01:59,43.96,1.00E+11
Royland,2019/4/19 0:05:32,25.4,9.85E+12
Rodneyfort,2019/2/8 7:35:04,30.02,2.50E+12
East Kaylahaven,2019/1/17 10:15:36,40.82,6.34E+12
West Christopherberg,2019/1/17 14:30:56,9.04,5.15E+12
New Jacobville,2019/1/15 15:27:56,27.24,3.81E+12
Lake Jonathanshire,2019/1/2 14:14:50,13.89,4.24E+11
Port Samanthamouth,2019/4/25 9:50:07,25.5,1.17E+12
West Heidi,2019/3/26 9:45:05,22.33,8.26E+11
Karenside,2019/4/14 5:11:17,13.13,3.66E+12
Valentineton,2019/2/1 14:11:33,9.68,2.13E+12
Raymondhaven,2019/2/23 11:13:25,4.24,2.94E+11
Carriemouth,2019/3/11 21:35:00,16.78,1.52E+12
West Josephberg,2019/1/16 16:17:05,7.04,2.51E+12
Port Samanthamouth,2019/3/1 8:58:12,43.25,1.39E+12
Karenberg,2019/3/30 11:38:39,24.64,4.54E+12
New Paulton,2019/3/10 1:07:52,28,1.07E+12
Joneschester,2019/2/7 18:36:22,6.34,2.61E+12
North Jasmine,2019/2/8 19:03:17,4.86,1.28E+12
Valentineton,2019/2/27 0:40:41,25.4,6.15E+12
New Paulton,2019/2/20 16:59:35,24.29,7.74E+12
South Evanton,2019/4/28 8:15:09,22.86,7.59E+12
North Jasmine,2019/1/22 17:25:25,31.68,7.12E+11
West Anthony,2019/3/17 0:30:34,35.42,4.56E+12
Jerryton,2019/4/29 2:49:02,41.27,9.03E+11
Grahamburgh,2019/1/9 7:00:08,13.55,5.46E+12
South Jack,2019/3/30 20:21:59,4.2,4.82E+12
West Christopherberg,2019/1/23 21:23:07,30.93,5.34E+12
Lake Scottton,2019/3/26 0:49:34,9.79,1.83E+12
West Patrickchester,2019/1/14 1:15:16,24.82,5.93E+12
Royland,2019/1/17 14:08:06,27.92,3.15E+12
South Karenland,2019/2/14 14:00:56,39.53,2.86E+12
Erikaland,2019/3/27 13:11:14,36.52,2.20E+12
Rodneyfort,2019/3/20 10:40:26,42.57,6.35E+12
Williamsstad,2019/5/1 1:26:21,26.81,4.54E+12
Richardfort,2019/2/13 12:46:07,14,9.10E+11
West Ericstad,2019/1/25 12:29:55,20.03,3.28E+12
Grahamburgh,2019/3/5 5:39:23,4.33,8.04E+11
North Barbara,2019/5/4 2:33:59,24.09,9.28E+12
West Robert,2019/1/4 6:10:40,35.35,9.55E+12
Justinberg,2019/3/14 10:46:12,36.32,6.77E+12
South Michelleport,2019/3/3 16:13:34,41.62,2.34E+12
North Jasmine,2019/2/22 1:56:17,25.33,1.32E+12
Barajasview,2019/3/1 11:06:21,28.25,7.23E+12
Carriemouth,2019/4/4 13:22:44,12.91,4.28E+12
Amandaburgh,2019/2/24 23:10:49,43.66,6.57E+12
Johnton,2019/3/27 0:10:12,18.89,3.63E+12
Port Angela,2019/3/4 3:26:39,40.35,4.93E+12
Rodneyfort,2019/5/6 22:21:58,27.16,3.77E+12
Amandaburgh,2019/2/10 20:42:46,36.17,6.46E+12
North Madeline,2019/2/25 4:32:14,13.58,4.93E+12
West Angela,2019/3/1 11:13:34,30.3,9.67E+12
Joneschester,2019/1/3 5:45:12,25.47,5.54E+12
Joneschester,2019/1/3 1:03:50,17.97,5.44E+12
South Phillip,2019/1/29 11:26:47,35.23,7.42E+12
Liumouth,2019/3/30 3:13:00,4.66,3.16E+12
West Anthony,2019/1/10 2:31:33,32.34,1.48E+12
North Jason,2019/2/26 11:57:44,13.88,2.49E+12
North Jason,2019/3/21 9:45:04,10.42,6.60E+12
Carriemouth,2019/4/28 14:28:36,11.46,6.99E+12
Huntermouth,2019/5/4 15:20:09,36.77,7.19E+12
South Phillip,2019/4/18 6:03:51,39.95,9.72E+12
South Jack,2019/2/1 22:32:07,28.37,3.37E+12
Port Johnbury,2019/5/5 6:26:50,25.3,2.54E+12
South Phillip,2019/5/6 5:05:46,43.43,2.44E+12
North Jasmine,2019/4/10 11:45:30,38.24,2.96E+12
South Michelleport,2019/1/27 19:38:12,15.45,7.47E+12
North Madeline,2019/4/7 8:54:49,32.99,1.82E+12
Christopherfurt,2019/2/24 2:56:43,40.33,9.58E+12
Williamsstad,2019/2/23 17:42:40,4.68,9.11E+12
Martinezhaven,2019/4/18 1:40:39,34.7,2.02E+12
Simpsonburgh,2019/4/3 8:47:52,4.74,8.56E+12
New Jacobville,2019/2/4 4:57:28,27.63,4.33E+12
South Karenland,2019/2/12 3:42:21,5.78,8.89E+12
Royland,2019/1/27 1:01:17,24.56,9.66E+12
Karenside,2019/1/22 13:11:13,24.72,5.33E+12
West Robert,2019/5/5 5:18:46,10.15,9.39E+12
Port Samanthamouth,2019/4/27 8:48:36,12.84,5.66E+12
West Samuelburgh,2019/3/7 1:51:26,14.55,7.16E+12
New Kimberlyborough,2019/3/29 20:35:12,42.51,8.30E+12
Port David,2019/3/27 11:56:08,15.64,5.34E+12
Karenside,2019/3/18 12:48:08,36.96,7.61E+12
New Paulton,2019/2/8 17:11:44,39.65,8.51E+12
West Ericstad,2019/1/8 9:03:12,32.99,6.69E+12
Port Johnbury,2019/3/21 2:20:43,32.8,5.45E+12
Port Samanthamouth,2019/3/27 0:31:25,16.05,1.41E+12
Port Frank,2019/1/8 23:51:25,42.13,2.10E+12
Lake Jonathanshire,2019/4/6 11:30:32,16.84,6.16E+12
West Angela,2019/2/5 18:53:14,36.37,7.83E+12
Port Samanthamouth,2019/3/27 1:08:09,21.46,9.99E+12
North Madeline,2019/3/4 17:20:57,21.38,9.54E+12
Williamsview,2019/1/15 0:10:14,44.33,4.63E+12
Grahamburgh,2019/2/21 6:55:34,22.65,8.16E+11
South Evanton,2019/3/6 3:56:20,30.87,5.81E+12
Loganberg,2019/3/27 13:32:59,4.72,6.12E+12
Carriemouth,2019/2/21 16:38:59,44.18,4.53E+12
Port David,2019/1/2 11:51:32,7.45,6.15E+12
West Heidi,2019/1/30 12:59:43,30.84,8.94E+12
Williamsstad,2019/3/5 2:33:54,25.02,1.31E+12
North Barbara,2019/2/4 8:12:17,42.59,4.97E+12
Lake Danielberg,2019/3/17 19:23:29,10.18,4.71E+12
North Markport,2019/4/13 7:37:48,20.09,4.31E+12
Port Angela,2019/5/2 4:14:34,35.76,7.95E+12
Port Samanthamouth,2019/3/15 15:08:17,25.97,7.73E+12
West Angela,2019/5/3 9:04:03,24.07,7.81E+12
Leahton,2019/2/21 20:37:56,24.13,6.76E+12
North Markport,2019/4/28 4:34:56,40.46,2.57E+12
Karenside,2019/3/9 3:50:21,40.86,1.76E+12
Jerryton,2019/1/7 12:05:30,7.86,7.07E+11
South Michelleport,2019/4/14 1:20:33,37.93,1.53E+12
Valentineton,2019/3/25 20:45:53,22.53,2.34E+12
East Kaylahaven,2019/4/9 16:57:04,10.03,8.04E+12
Erikaland,2019/4/13 12:26:02,25.22,4.85E+12
West Christopherberg,2019/1/8 8:25:29,37.78,8.77E+12
Pattyland,2019/2/1 22:43:37,32.03,2.85E+12
Deanville,2019/2/8 23:33:35,21.22,4.79E+12
West Christopherberg,2019/3/21 0:14:02,43.87,5.09E+12
Justinberg,2019/3/23 6:28:19,30.58,3.50E+12
Lake Danielberg,2019/2/24 19:34:24,34.82,2.44E+12
Port Samanthamouth,2019/1/30 1:19:21,38.78,6.12E+12
Lake Danielberg,2019/2/28 15:08:06,44.96,6.32E+12
Deanville,2019/4/15 1:36:17,24.3,1.07E+12
Pattyland,2019/2/15 15:13:00,44.03,1.56E+12
Karenside,2019/1/27 8:52:04,7.65,4.73E+11
Port Angela,2019/4/22 16:43:04,7.91,6.77E+12
West Angela,2019/4/14 18:40:42,32.77,5.00E+12
South Karenland,2019/3/26 6:12:20,35.5,1.48E+12
New Jacobville,2019/2/18 21:09:27,39.97,8.03E+12
Roberthaven,2019/3/14 16:12:38,36.84,4.12E+12
Lake Scottton,2019/4/24 11:54:24,5.31,9.67E+12
Amandaburgh,2019/1/11 2:22:07,29.24,7.28E+12
Reynoldsfurt,2019/5/5 17:38:07,14.95,1.40E+12
West Patrickchester,2019/2/9 5:54:52,16.1,9.11E+12
Christopherfurt,2019/4/13 8:29:32,37.22,3.29E+12
South Evanton,2019/4/27 0:58:54,27.78,9.38E+12
Lake Scottton,2019/2/7 5:08:45,10.76,4.20E+12
Roberthaven,2019/3/14 15:24:44,35.27,4.03E+12
Rodneyfort,2019/3/4 15:13:08,28.69,2.76E+11
West Josephberg,2019/2/17 6:28:32,41.49,2.82E+12
Lake Jonathanshire,2019/3/21 0:18:34,37.95,8.35E+12
Simpsonburgh,2019/2/5 16:02:12,25.58,2.04E+12
West Heidi,2019/3/19 3:15:53,5.65,2.47E+12
North Barbara,2019/3/23 20:59:03,23.76,5.55E+12
North Jasmine,2019/3/11 21:03:21,37.93,4.22E+12
West Gabriel,2019/4/29 1:22:02,36.7,4.10E+12
Liumouth,2019/4/14 6:43:14,31.63,6.17E+12
Carriemouth,2019/3/2 15:40:25,28.04,5.14E+12
West Robert,2019/3/24 15:21:54,34.9,9.47E+12
North Jasmine,2019/5/2 10:24:46,29.86,3.20E+12
Carriemouth,2019/3/21 15:40:04,44.64,9.56E+12
Lake Scottton,2019/2/15 6:49:06,22.75,8.38E+12
North Madeline,2019/4/12 13:57:21,7.77,9.27E+12
Lake Danielberg,2019/1/7 9:41:54,17.39,4.36E+12
North Madeline,2019/4/30 16:02:17,37.48,2.51E+12
Port David,2019/1/7 20:03:19,20.49,5.85E+12
Royland,2019/2/11 3:46:39,30.41,7.20E+12
West Samuelburgh,2019/2/20 1:05:29,19.65,6.62E+12
West Angela,2019/3/18 12:08:51,34.05,5.33E+12
West Patrickchester,2019/3/6 4:19:59,32.37,3.68E+12
Port Frank,2019/2/5 10:34:09,20.1,4.44E+12
New Kimberlyborough,2019/2/9 5:48:26,39.55,6.01E+12
Justinberg,2019/4/20 7:37:19,29.07,2.10E+11
West Angela,2019/4/18 12:07:32,16.18,5.77E+12
Justinberg,2019/3/10 9:19:12,37.89,5.56E+12
Valentineton,2019/1/10 17:29:33,19.91,7.75E+11
Williamsview,2019/4/7 0:32:37,18.92,23948941587
South Jack,2019/1/31 2:51:29,21.75,6.97E+12
Port Frank,2019/2/18 18:49:51,39.06,7.30E+12
Leahton,2019/2/13 11:40:59,16.79,4.74E+12
South Michelleport,2019/2/22 7:44:56,22.52,8.52E+12
South Karenland,2019/4/25 14:44:55,24.86,1.31E+12
Richardfort,2019/2/16 13:52:19,17.92,8.21E+11
Williamsstad,2019/4/16 23:07:08,23.12,9.69E+11
South Michelleport,2019/2/12 7:41:25,27.7,5.58E+12
West Patrickchester,2019/4/13 19:49:03,33.33,1.83E+12
Martinezhaven,2019/4/18 18:37:14,5.81,2.12E+12
North Jason,2019/1/23 22:51:26,21.95,6.70E+12
North Jason,2019/4/18 12:19:12,22.42,4.93E+12
Lake Scottton,2019/5/3 22:33:04,9.01,1.29E+12
West Christopherberg,2019/3/1 21:33:11,11.97,6.42E+12
North Markport,2019/4/10 22:15:25,38.02,8.83E+12
Christopherfurt,2019/4/9 0:32:07,29.96,9.83E+12
North Madeline,2019/1/29 16:12:52,17.57,2.60E+12
Richardfort,2019/2/1 20:18:28,10.26,9.55E+12
South Phillip,2019/1/25 5:04:01,38.15,3.60E+12
East Kaylahaven,2019/2/11 0:24:18,43.19,8.67E+12
Rodneyfort,2019/4/11 2:57:58,36.3,9.05E+12
Pattyland,2019/4/26 8:31:23,19.99,8.83E+12
South Karenland,2019/3/24 23:37:10,41.44,6.05E+11
Port David,2019/3/24 21:58:25,28.84,5.27E+12
Rodneyfort,2019/3/10 5:23:50,29.13,4.63E+12
New Paulton,2019/2/2 16:37:18,17.19,8.50E+12
Williamsstad,2019/3/12 1:39:41,18.67,2.16E+12
South Michelleport,2019/1/29 20:40:56,9.79,5.53E+12
West Christopherberg,2019/3/21 2:57:41,21.41,7.70E+12
Lake Scottton,2019/3/25 21:46:20,36.92,7.04E+12
Port Angela,2019/3/19 12:32:49,17.21,1.69E+12
Christopherfurt,2019/4/17 22:12:49,32.39,6.54E+11
Joneschester,2019/2/27 8:19:34,33.34,2.39E+12
Loganberg,2019/1/25 1:59:40,26.03,9.12E+12
South Phillip,2019/2/19 13:19:38,33.07,8.52E+12
Deanville,2019/1/23 13:00:34,42.45,7.29E+12
New Kimberlyborough,2019/1/30 21:46:18,29.09,8.59E+12
Port Johnbury,2019/4/11 10:26:44,9.1,7.80E+12
West Patrickchester,2019/4/19 3:26:10,44.5,8.64E+12
West Robert,2019/1/11 11:10:10,5.16,1.59E+12
New Paulton,2019/3/28 3:35:48,14.94,3.70E+12
South Latoya,2019/3/19 16:19:22,31.72,3.64E+11
Robertport,2019/2/18 15:01:19,43.47,8.00E+12
Valentineton,2019/1/19 19:40:33,6.71,9.05E+12
South Latoya,2019/1/18 20:09:27,10.98,7.14E+12
Simpsonburgh,2019/1/12 4:35:48,24.83,3.15E+12
West Patrickchester,2019/2/12 16:33:18,22.64,4.55E+12
Richardfort,2019/4/17 2:26:37,23,7.20E+11
Hurleymouth,2019/2/20 10:47:47,17.07,7.02E+12
Leahton,2019/1/27 8:09:59,29.36,2.92E+12
West Anthony,2019/4/29 1:12:26,27.04,4.38E+12
New Kimberlyborough,2019/1/5 9:33:59,39.47,2.81E+12
South Latoya,2019/3/19 22:03:13,40.29,6.60E+11
Williamsstad,2019/4/12 12:30:28,17.57,7.10E+12
South Karenland,2019/2/1 19:45:09,31.64,9.38E+12
North Jason,2019/4/16 15:23:51,24.07,9.73E+12
West Angela,2019/1/27 9:35:35,9.24,2.62E+12
Lake Danielberg,2019/2/8 5:58:51,10.31,2.46E+12
Port Samanthamouth,2019/4/6 13:42:16,24.18,8.48E+12
New Jacobville,2019/2/9 2:25:28,37.51,5.69E+12
New Kimberlyborough,2019/3/10 13:55:17,10.83,1.56E+12
New Kimberlyborough,2019/1/8 18:59:23,13.34,6.27E+11
Karenberg,2019/3/5 1:38:53,44.1,9.23E+12
South Phillip,2019/4/11 10:09:51,21.06,4.83E+12
Loganberg,2019/1/20 1:34:06,38.66,7.24E+12
Carriemouth,2019/5/1 4:53:47,10.97,8.79E+12
West Patrickchester,2019/1/21 14:48:10,19.44,2.09E+12
Martinezhaven,2019/2/7 21:45:45,4.31,9.33E+12
Karenside,2019/1/8 8:49:26,22.64,2.41E+12
North Jason,2019/3/24 7:40:47,32.72,7.96E+12
Lake Danielberg,2019/3/28 9:56:51,28.53,9.81E+12
Pattyland,2019/4/3 3:29:52,14.06,5.40E+12
Pattyland,2019/2/21 17:53:52,7.06,5.81E+12
Loganberg,2019/1/11 4:27:00,44.34,1.38E+12
Leahton,2019/2/28 13:10:56,9.08,8.20E+12
Reynoldsfurt,2019/1/17 21:35:17,24.84,5.00E+12
Raymondhaven,2019/2/22 23:54:55,7.64,7.31E+12
South Latoya,2019/2/12 22:59:02,5.54,8.40E+11
Lake Scottton,2019/1/18 2:32:38,31.92,5.71E+12
Port David,2019/2/24 22:20:33,35.63,3.35E+12
Roberthaven,2019/4/5 14:01:28,31.09,1.02E+12
Rogerston,2019/3/24 2:56:21,39.6,9.20E+12
Karenberg,2019/4/27 14:57:38,44.73,3.80E+12
Martinezhaven,2019/4/14 16:26:12,32.57,9.71E+11
South Evanton,2019/1/20 23:10:11,25.94,3.43E+12
North Jasmine,2019/4/26 12:08:00,35.33,6.86E+12
Hurleymouth,2019/1/12 1:19:37,10.64,8.13E+12
West Robert,2019/3/7 15:57:52,12.22,2.71E+12
Deanville,2019/4/21 23:32:00,33.37,7.76E+12
South Michelleport,2019/1/9 1:48:18,10.68,3.24E+12
Royland,2019/2/2 12:51:14,42.52,7.84E+12
Rodneyfort,2019/4/10 23:38:24,25.4,9.06E+12
North Madeline,2019/1/12 9:42:16,20.82,8.11E+12
Lake Danielberg,2019/4/28 4:00:40,39.82,7.89E+12
Port Johnbury,2019/5/2 12:46:00,42.42,3.25E+12
Richardfort,2019/4/21 3:44:04,9.54,3.70E+12
Liumouth,2019/3/22 4:06:56,33.1,3.68E+12
Roberthaven,2019/1/21 19:25:49,23.14,4.94E+12
